news_headline,news_article,news_category
Prior COVID-19 infection reduces reinfection risk for up to 10 months: Study,"Previous COVID-19 infection substantially reduces risk of reinfection for up to 10 months, according to a study of care home residents and staff in UK. ""It seems...this protective immunity...reduced the risk of reinfection by approximately 85% for residents and 61% for staff,"" the study, published in The Lancet Healthy Longevity journal, said. The study included over 2,000 staff and residents.",science
"How does Corbevax, the COVID-19 vaccine ordered by govt, work?","Corbevax is a ""recombinant protein sub-unit"" vaccine, which means it's made up of a specific part of SARS-CoV-2 — the spike protein. Spike protein allows virus to enter the cells in the body. However, when spike protein alone is given, the body is expected to develop an immune response which fights the virus when it attempts to infect a person.",science
"SpaceX Dragon carrying water bears, squids to ISS seen flying in daytime","SpaceX Cargo Dragon spacecraft, which was carrying 3,300kg of research experiments and supplies to the International Space Station, was seen flying into orbital in the daytime on Saturday morning. The supplies included tardigrades (or water bears), glow-in-the-dark bobtail squids and solar panels among other things. NASA has shared the video of the spacecraft.",science
Navy pilots saw something real: NASA chief orders probe into UFO sightings,"NASA chief Bill Nelson has ordered the space agency to investigate the recent UFO sightings. ""I've talked to those Navy pilots and they're sure they saw something real,"" said Nelson. ""We don't know if it's extra-terrestrial, we don't know if it's an enemy. We don't know if it's an optical phenomenon,"" added Nelson, while dismissing the possibility of an illusion. ",science
China's 'artificial sun' achieves record 120 million Celsius for 101 seconds,China's Experimental Advanced Superconducting Tokamak (EAST) set a new record by achieving plasma temperature of 120 million Celsius for 101 seconds and 160 million Celsius for 20 seconds. It broke a previous record of maintaining plasma temperature at 100 million Celsius for 100 seconds. The experimental fusion reactor replicates the nuclear fusion process that occurs in the sun and stars.,science
Iceland's glaciers lost 750 sq km of surface in 20 years: Study,"Iceland's glaciers have lost around 750 square kilometres, or 7% of their surface, in the last 20 years due to global warming, a study in the Icelandic scientific journal Jokull showed. The glaciers shrank in 2019 to 10,400 square kilometres, the study stated. Since 1890, the land covered by glaciers has decreased by 18%, researchers said.",science
Astronauts share photos of Himalayas and Italy taken from space,"Astronauts Mark T Vande Hei and Shane Kimbrough, who are currently aboard International Space Station (ISS), took to Twitter to share images of Himalayas and Italy taken from space. ""Somewhere on a clear, bright day in Himalayas...Can’t get enough views like this,"" wrote Mark. Shane shared picture of Italy's Turin, saying the city is easy to spot from ISS.",science
"Scientist takes first-ever journey to 3rd deepest ocean trench, finds plastic","Doctor Deo Florence Onda, a Filipino microbial oceanographer, discovered plastic during the first-ever journey to the third-deepest ocean trench on Earth. The 33-year-old microbial oceanologist had travelled more than 10,000 m below the surface to The Emden Deep, a part of the Philippine Trench. Onda said that he even mistook a piece of plastic for a jellyfish.",science
Tech to predict movement of impurities via soil made: IIT Mandi,IIT Mandi researchers have co-developed software which they claim accurately predicts the movement of contaminants through complex soil structure. It's especially useful in estimating fertiliser application in agricultural fields and designing disposal mechanisms for complex chemicals. The model can be used in planning and designing landfill and groundwater remediation sites.,science
Japan plans to send transformable robot to the Moon in 2022,"Japan is planning to send a transformable robot to the Moon to gather information on the lunar surface. The robot is being jointly developed by JAXA, TOMY Company, Sony and Doshisha University. It will be transported to the lunar surface by Japan-based ispace's lunar lander, which is to be launched in 2022.",science
Bharti Global-owned OneWeb launches 7th batch of 36 satellites,"Bharti Global and the UK government-owned OneWeb has launched its seventh batch of 36 satellites by Arianespace from the Vostochny Cosmodrome in Russia. These will form part of OneWeb's 648 LEO satellite fleet that will deliver high-speed, low-latency global connectivity. OneWeb needs another launch to enable its connectivity solution to reach all regions north of 50° latitude by June 2021.",science
Supercomputer to help create largest-ever 3D map of universe,"The NERSC has deployed the ""Perlmutter"" supercomputer, claiming it's one of the fastest supercomputers in world. The ""Perlmutter"" will be tasked with a number of projects, including assembling the largest 3D map of visible universe to date. In order to do so, it'll process data from DESI, which can capture images of up to 5,000 galaxies in a single exposure.",science
SpaceX launches its 125th successful mission,"SpaceX's Falcon 9 on Sunday launched the SXM-8 mission to orbit, making it SpaceX's 125th successful mission. This was the third launch and landing of the Falcon 9 first stage booster, which previously launched NASA astronauts on the Crew-1 and Crew-2 missions to the International Space Station. Earlier on June 3, SpaceX launched a NASA cargo resupply mission to ISS.",science
"Virgin Galactic to send researcher to space for experiments, tests","Richard Branson's Virgin Galactic will fly bioastronautics researcher Kellie Gerardi to space for conducting experiments and testing healthcare technologies. She will serve as a payload specialist and experiment with wearable sensor systems and syringe designs for use in space, among other things. Earlier, Virgin Galactic flew a crewed test flight to space for the first time in over two years.",science
"SpaceX launches 3,300 kg of cargo including water bears, squids to ISS","SpaceX on Thursday launched its 22nd cargo resupply mission aboard the Cargo Dragon spacecraft to the International Space Station (ISS) for NASA. The CRS-22 mission will deliver more than 3,300 kilograms of research and supplies, including tardigrades (or water bears), glow-in-the-dark bobtail squids, solar panels. The uncrewed spacecraft is scheduled to arrive at the ISS on Saturday, June 5.",science
SpaceX's ocean spaceport Deimos to host launches in 2022: Musk,"SpaceX CEO Elon Musk has said SpaceX's ocean spaceport 'Deimos' is under construction and will be hosting launches in 2022. Earlier this year, SpaceX purchased two former oil rigs off Texas' coast to convert them into spaceports for launching Starship rockets and had officially renamed them 'Deimos' and 'Phobos'. A Twitter user shared a rendered image of the upcoming spaceport.",science
2 Russian cosmonauts perform spacewalk outside ISS,"Two Russian cosmonauts embarked on a spacewalk at the International Space Station to prepare for the arrival of a new Russian module. Expected to last about six hours and 30 minutes, it's the first spacewalk for Oleg Novitsky and Pyotr Dubrov. The two Russians are currently teamed up at the space station with astronauts from the US, Japan and Europe.",science
India had variety of sea cows millions of years ago: IIT Roorkee,"An IIT Roorkee study said at least four varieties of sea cows, including very primitive ones, lived in the Kutch sea about 42 million years ago and another five species thrived about 20 million years ago. Professor Sunil Bajpai said India was a ""major centre of evolution and diversification in the past"" for sea cows and other associated mammals.",science
Sharks went nearly extinct 19 million years ago: Study,"A study has revealed sharks nearly went extinct 19 million years ago when over 90% of the world's sharks died, Yale University reported. It was twice the level of extinction that sharks experienced during the Cretaceous-Paleogene extinction event 66 million years ago. There is no known climate calamity or ecosystem disruption that occurred at the time of the steep drop.",science
"China launches new satellite to monitor weather, disasters","China successfully launched a new generation meteorological satellite into orbit on Thursday, Chinese media reported. The Fengyun-4B satellite was launched by a Long March-3B rocket from the Xichang Satellite Launch Center in Sichuan province, Xinhua reported. The satellite will be used for weather analysis, environmental and disaster monitoring, the report added.",science
RBI states banks can't cite its 2018 crypto-ban order,"The Reserve Bank of India clarified that banks can no longer cite its 2018 crypto ban circular, which was quashed by the Supreme Court in March 2020, to deny services to those dealing in cryptocurrencies. As banks now have a clear direction of dealing with cryptocurrencies, we are celebrating this welcoming move, stated CoinSwitch Kuber which recently turned four.",business
Petrol price crosses ₹101 per litre mark in Mumbai,"State-run oil companies raised petrol price by 27 paise and diesel price by 29 paise per litre on Sunday, leading petrol to cost ₹101.25 per litre and diesel at ₹93.30 a litre in Mumbai. Fuel rates have increased for the nineteenth time in 34 days. Petrol has become costlier by ₹4.63 per litre across the country since May 4.",business
Hacker group Anonymous warns Elon Musk over crypto tweets; releases video,"Hacker group Anonymous has released a new video warning Tesla's billionaire CEO Elon Musk over his tweets on cryptocurrencies. ""Reading from the comments on your Twitter posts, it seems that the games you have played with the crypto markets have destroyed lives,"" the group said. It added, ""Your tweets this week show a clear disregard for the average working person.""",business
GST collection crosses ₹1 lakh crore-mark for 8th straight month,"The Ministry of Finance has announced that the gross GST collection for May stood at ₹1,02,709 crore, 65% higher than the revenue collected in the year-ago period. GST revenues have crossed the ₹1 lakh crore-mark successively for the last eight months. Of the revenue collected in May, CGST is ₹17,592  crore, SGST is ₹22,653 and IGST is ₹53,199 crore.",business
"Mahindra asks Twitter users for a title for Bengaluru, declares 'TecHalli' as winner","Businessman Anand Mahindra took to Twitter to ask the platform's users to suggest a new ""good and original"" title for Bengaluru, calling the 'Silicon Valley of India' title ""wannabe"". Later, Mahindra and Nandan Nilekani jointly declared ""TecHalli"" as the winner. ""The 'H' in Tech [was put] to double use. 'H' drew attention to 'Halli' meaning Village/Place in Kannada,"" explained Mahindra.",business
"Petrol price crosses ₹100/ litre mark in 5 states, 1 UT as fuel prices hiked again","Petrol price on Sunday crossed the ₹100/ litre mark in five states and 1 Union Territory as fuel prices were hiked again. Petrol prices in Rajasthan, Madhya Pradesh, Maharashtra, Andhra Pradesh, Telangana and Ladakh went above the ₹100/ litre mark. In Delhi, petrol price crossed ₹95/ litre while diesel price crossed ₹86/ litre mark for the first time.",business
What are the features of new tax return filing portal to be launched on June 7?,"The Income Tax Department is launching its new e-filing portal 'www.incometax.gov.in' on June 7, 2021, integrated with the immediate processing of Income Tax Returns to issue quick refunds. All interactions and uploads or pending actions will be displayed on a single dashboard for follow-up actions. A free-of-cost ITR preparation software will also be available with interactive questions.",business
"I'm a law-abiding citizen, left India for treatment in US: Choksi to Dominica HC","Mehul Choksi, the fugitive diamantaire wanted in the ₹14,000-crore PNB loan fraud case, filed an affidavit before the Dominica High Court telling that he's a ""law-abiding citizen"". ""I did not evade law enforcement in India,"" Choksi was quoted by TOI. ""There was no warrant against me in India when I left to seek medical treatment in the US,"" he added.",business
It could mean us paying more tax: Facebook on G7 corporate tax deal,"After the finance ministers of G7 nations agreed to back a global minimum corporate tax of at least 15%, Facebook's VP of Global Affairs Nick Clegg said it could mean that Facebook pays more tax and in different places. ""We want the international tax reform process to succeed,"" Clegg added. Further, Google and Amazon also welcomed the G7's decision.",business
Bitcoin falls amid crypto-based Weibo account suspensions: Report,"Bitcoin, Ether and the rest of the top 30 cryptocurrencies excluding stablecoins declined within 24 hours in Hong Kong, Bloomberg reported citing CoinGecko data. Earlier, the Chinese social-media service Weibo had suspended some crypto-related accounts. The blocked accounts are reportedly a mix of influencers, media outlets, miners and wallets.",business
Square to invest $5 mn in solar-powered Bitcoin mining facility,"Fintech firm Square will invest $5 million in building an open-source, solar-powered Bitcoin mining facility at one of Blockstream Mining sites in the US. ""The facility will be a proof-of-concept for a 100% renewable energy Bitcoin mine at scale,"" Blockstream said. Earlier, Square CEO Jack Dorsey had said the firm is considering making hardware wallet for Bitcoin.",business
El Salvador President plans bill to adopt Bitcoin as legal tender,"El Salvador's President Nayib Bukele is planning to send legislation that would make Bitcoin legal tender in the country. ""In the short term this will generate jobs and help provide financial inclusion to thousands outside formal economy,"" Bukele said at the Bitcoin 2021 conference. He later tweeted, investing 1% of Bitcoin in El Salvador could increase its GDP by 25%.",business
"Haven't installed TikTok, it collects too much data: Binance CEO","Cryptocurrency exchange Binance's Founder and CEO Changpeng Zhao in a tweet said he does not have TikTok installed as it collects ""too much data"". He added that he does not have WeChat and Weibo installed for the same reason. Earlier, media reports had said Weibo has suspended certain cryptocurrency-related accounts.",business
"Paytm's loss narrows to ₹1,704 crore for FY21","One97 Communications, the parent company of Paytm, has narrowed its consolidated loss to ₹1,704 crore in FY21 from ₹2,943.32 crore in FY20, according to the company's annual report. The total revenue of the company declined about 10% to ₹3,186 crore, whereas its expenses dropped 22% to ₹4,782.95 crore. Earlier, Bloomberg reported that Paytm is planning for an IPO this year.",business
Car prices likely to be stable in short-term: Volkswagen India official,"Car prices are likely to remain ""fairly stable"" in the short-term, Volkswagen India's Brand Director Ashish Gupta said. He said that the second wave of COVID-19 has more or less balanced the demand-supply situation in the past two months. Gupta added that the demand is expected to start picking up again as the restrictions start easing out.",business
Karnataka govt must teach a lesson to Amazon: HD Kumaraswamy,"Former Karnataka CM and Janata Dal (Secular) leader HD Kumaraswamy on Sunday said the state government must teach a lesson to Amazon Canada for promoting the sale of a bikini with the Kannada flag and emblem on it. ""Amazon is hurting sentiments of Kannadigas,"" Kumaraswamy said. He added, ""Google made a similar mistake and apologised later. Now it's Amazon's turn."" ",business
2nd COVID-19 wave won't impact agri sector in any way: NITI Aayog,"The second wave of COVID-19 will not impact the Indian agriculture sector in any way, NITI Aayog member Ramesh Chand said. ""COVID-19 cases started spreading in the rural areas in...May...and agriculture activity in the month of May is bare minimal, particularly land-based activities,"" he said. Agriculture activity peaks in the month of March or till middle of April, he added.",business
"IndiGo reports ₹1,147 cr loss in Q4, its 5th straight quarterly loss","InterGlobe Aviation, parent of the country's largest airline IndiGo, reported a consolidated net loss of ₹1,147.2 crore for the January-March quarter, as against ₹870.8 crore in the year-ago period. This was the firm's fifth consecutive quarterly loss. ""This has been a very difficult year with our revenues slumping hard due to COVID-19,"" IndiGo CEO Ronojoy Dutta said.",business
"FPIs invest ₹8,000 cr in Indian markets in last 4 trading sessions","Foreign portfolio investors (FPIs) have infused nearly ₹8,000 crore into Indian equities in the last four trading sessions amid a decline in COVID-19 cases. The inflow comes following a net withdrawal of ₹2,954 crore in May, data with depositories showed. FPIs had made a net investment of ₹55,741 crore in the first three months of the year.",business
"PNB to pick stake in NARCL, plans transfer of NPAs worth ₹8,000 cr","Punjab National Bank (PNB) has announced that it will buy stake in the National Asset Reconstruction Company (NARCL). PNB said that it has identified non-performing assets (NPAs) worth ₹8,000 crore to be transferred to the proposed bad bank for resolution. Bad bank refers to a financial institution that takes over bad assets of lenders and undertakes resolution.",business
"FIR filed against Suvendu Adhikari, brother for allegedly stealing relief material","An FIR has been filed against BJP MLA Suvendu Adhikari and his brother Soumendu Adhikari for allegedly stealing relief material worth several lakhs from Contai municipality office. The complainant alleged that government tripal was stolen on the direction of Adhikari brothers by forcefully and illegally opening locks, adding that the armed central forces were also used in the alleged theft.",politics
Delhi govt ready to make advance payment for vaccines: Atishi to Centre,"Urging Centre to provide COVID-19 vaccines, AAP leader Atishi said that Delhi government is ready to make ""advance payment"" for it. ""Both Covishield and Covaxin are available in private hospitals (for age group 18-44) but not in government hospitals and centres. The vaccine companies tell us that it's Centre which decides who gets how much vaccine and when,"" said Atishi.",politics
Rebel YSRCP MP sends legal notice to CID for 'illegally seizing' his phone,"Rebel MP of YSR Congress Party in Andhra Pradesh Kanumuru Raghu Rama Krishna Raju on Saturday issued a legal notice to the state's CID ADGP PV Sunil Kumar for ""illegally keeping his mobile phone"". He alleged that his phone is being used for sending inappropriate messages to people. Raju was arrested on May 14 by the CID on sedition charges.",politics
Centre prevented big scam of AAP govt: Sambit Patra on ration scheme,"BJP spokesperson Sambit Patra on Sunday said that by forestalling AAP government's doorstep ration delivery scheme, Centre has prevented a ""big scam"". Patra said that the scheme is in fact a ""ration diverting system"". He added, ""The A, B, C, D, E, F of Kejriwal's functioning is 'advertisement, blame (PM Modi), (take) credit, drama, excuses and (consequent) failure'.""",politics
"Dear BJP, why do you hate Delhi: AAP asks Centre over ration scheme ","The Aam Aadmi Party has accused the Centre of stalling Delhi's doorstep delivery of ration scheme. Taking to Twitter, AAP wrote, ""In March, BJP promised Home Delivery of Ration in Tamil Nadu. Today, BJP stopped Home Delivery of Ration in Delhi. Dear BJP, we...ask you- Why do you hate Delhi?"" The scheme claimed to benefit 72 lakh people in Delhi.",politics
Centre should ensure one crore vaccinations a day: Cong MP Adhir,"Congress MP Adhir Ranjan Chowdhury on Saturday wrote a letter to West Bengal Governor Jagdeep Dhankhar urging him to direct the Centre to ensure one crore vaccinations a day and universal free vaccinations, as it's the ""only way to defeat"" the coronavirus. ""[PM Narendra Modi-led] government's vaccination strategy has been a dangerous cocktail of blunders and bloopers,"" he said.",politics
Lust for power amid COVID-19 will lead to anarchy: Thackeray,"Maharashtra CM Uddhav Thackeray, in an apparent reference to Shiv Sena's former ally BJP, on Saturday said that ""acting with lust for power amid COVID-19 will lead to anarchy"". ""If people who voted for me don't survive...what is the use of power?"" he added. ""I was never politically inclined. I came into politics to help my father,"" he further said.",politics
"Be 'aatmanirbhar' for vaccines, govt fighting for blue tick: Rahul","After the Centre on Saturday issued ""one last notice"" to Twitter to comply with the new IT rules, Congress leader Rahul Gandhi criticised the Prime Minister Narendra Modi-led government over its ""priorities"" amid the COVID-19 pandemic. ""Modi government is fighting for blue tick. If you want a COVID-19 vaccine, be 'aatmanirbhar' (self-reliant),"" Rahul tweeted on Sunday.",politics
Why were COVID-19 hospital beds reduced despite warning: Priyanka,"Congress General Secretary Priyanka Gandhi Vadra on Sunday questioned Centre's decision to reduce the number of oxygen, ICU and ventilator beds in hospitals from September 2020 to January 2021. Priyanka said the reduction came even after every expert in the country and the Parliamentary Committee on Health warned that additional beds would be necessary for an inevitable second COVID-19 wave.",politics
BJP lost a sincere leader: HP CM on Narinder Bragta's demise,"Himachal Pradesh CM Jairam Thakur paid floral tributes to BJP MLA and Chief Whip Narinder Bragta who died at a hospital in Chandigarh following post-COVID-19 complications. The CM said, ""BJP has lost a very sincere leader who always worked for the development of the area."" Bragta's son Chetan had announced the news about his father's death on Facebook.",politics
Prashant Kishor present in TMC's organisational meeting: Reports,"Prashant Kishor, who was the poll strategist for West Bengal CM Mamata Banerjee-led TMC for Assembly polls, attended the party's organisational meeting in Kolkata on Saturday, as per reports. In the meeting, CM Banerjee's nephew and MP Abhishek Banerjee was appointed party's National General Secretary. After the Bengal poll victory, Kishor had announced that he's quitting as a poll strategist.",politics
Stop language discrimination: Rahul on use of Malayalam in Delhi hospital,"Congress leader Rahul Gandhi opposed Delhi government-run Govind Ballabh Pant Institute of Postgraduate Medical Education and Research's order for nurses to communicate only in Hindi or English. The institute had disallowed use of Malayalam language. ""Malayalam is as Indian as any other Indian language. Stop language discrimination!"" Gandhi tweeted. Circular was later withdrawn after criticism.",politics
"No plan to reshuffle UP Cabinet, says BJP's state in-charge","After a meeting with UP Governor Anandiben Patel, BJP national Vice President Radha Mohan Singh on Sunday said there was no plan of a cabinet reshuffle in the BJP-led state government. Singh, who is also BJP's UP in-charge, said, ""Since I couldn't meet her (Governor) in past six months, I met her today."" This was a personal meeting, he added.",politics
Victory for decency: Tharoor as Delhi hospital revokes 'No Malayalam' order,"Congress MP Shashi Tharoor called Delhi government-run GB Pant Hospital's decision to withdraw its circular asking nurses not to use Malayalam at work as ""a small victory for decency"". ""Common sense over parochialism and bigotry,"" Tharoor tweeted. He had earlier criticised the order saying, ""It was unacceptable, crude, offensive and a violation of the basic human rights of Indian citizens.""",politics
Will be CM till BJP high command has confidence in me: Yediyurappa,"Amid speculations about a leadership change in Karnataka, CM BS Yediyurappa on Sunday said he will continue as CM till BJP high command has confidence in him. Yediyurappa added that he won't agree that there was no alternate leader to replace him. ""They have given me an opportunity, I'm trying beyond my strength to utilise (it) for good,"" he said.",politics
"Kejriwal doing drama, ration delivery scheme scam: Sambit Patra ","BJP spokesperson Sambit Patra on Sunday alleged that Delhi CM Arvind Kejriwal is doing ""drama"" over the doorstep delivery of ration scheme and called the initiative a ""scam"". ""He (Kejriwal) painted a picture that Prime Minister Narendra Modi is preventing door-to-door ration delivery,"" he added. Delhi government refused to implement One Nation One Ration Card (ONORC) plan, Patra stated. ",politics
Condemnable: Mayawati on 'vaccine sale' allegation on Punjab govt,"BSP chief Mayawati on Saturday said that the Punjab government selling COVID-19 vaccines to private hospitals at a higher rate was ""indecent, inhuman, condemnable and very unfortunate"". She also urged the Centre to take proper cognisance of the matter. Mayawati criticised Congress saying it is a ""wicked act"" and added, ""There seems to be less seriousness.""",politics
Will urge Punjab Guv to dismiss state govt: Badal on vaccine 'scam',"SAD chief Sukhbir Singh Badal said that he will meet Punjab Governor VP Singh Badnore and urge him to dismiss the Congress government over 'vaccine profiteering' scam. Badal had earlier demanded a High Court-monitored probe in the alleged scam. ""We're going to approach the Court...this scam needs to be examined. All decision-makers need to be prosecuted,"" Badal added.",politics
PM Modi can take credit: Delhi CM Kejriwal on doorstep ration scheme,"Delhi CM Arvind Kejriwal has alleged that Centre has stopped AAP government to commence its scheme of doorstep delivery of free ration even after government complied with Centre's conditions. ""Let me implement the scheme, I will give full credit to you (PM Modi). Ration does not belong to the state or the country, it is of people,"" said CM Kejriwal.",politics
"BJP abusing Arvind Kejriwal, not preventing ration theft: Sisodia","Delhi Deputy CM Manish Sisodia on Sunday said BJP is interested in ""abusing"" CM Arvind Kejriwal, instead of preventing ration theft. This came after BJP spokesperson Sambit Patra called Delhi government's doorstep delivery of ration scheme a ""scam"". ""I had hoped BJP would understand that giving ration to people at home was a step in the right direction,"" Sisodia added.",politics
